signal,n,w,l,wr,pnl,per_trade
EMA_BOUNCE,3835,1711,2120,44.7,440540,114.9
DELTA_ACCEL,1772,936,836,52.8,221324,124.9
DELTA_DIV,8644,2343,6293,27.1,80941,9.4
CHOCH_BEAR,72,65,6,91.5,11279,156.7
STREAK_REV,587,251,325,43.6,4278,7.3
BREAK_RETEST,139,62,77,44.6,2639,19.0
PULLBACK,44,23,21,52.3,1329,30.2
TREND_CONT,9,3,1,75.0,215,23.9
CHOCH_BULL,1,0,1,0.0,-92,-92.5
EXHAUSTION,7,2,5,28.6,-145,-20.7
VWAP_LOSS,11,1,10,9.1,-478,-43.5
BOS_BEAR,73,7,66,9.6,-4410,-60.4
VWAP_BOUNCE,2746,606,2140,22.1,-18593,-6.8
